rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0000.jpg,0.0,0.8734,0.7468,1.0,1.0,5,5,False,True
2,frame_0074.jpg,29.6,0.8123,0.6247,1.0,1.0,5,5,False,True
3,frame_0077.jpg,30.8,0.7356,0.6392,0.8,0.88,5,4,False,False
4,frame_0072.jpg,28.8,0.7297,0.5795,0.8,1.0,6,4,False,False
5,frame_0005.jpg,2.0,0.723,0.566,0.8,1.0,4,4,False,True
6,frame_0012.jpg,4.8,0.7,0.0,0.0,1.0,0,0,True,True
7,frame_0284.jpg,113.6,0.6949,0.6858,0.8,0.56,4,4,False,True
8,frame_0008.jpg,3.2,0.6908,0.6217,0.6,1.0,3,3,False,False
9,frame_0076.jpg,30.4,0.6813,0.5146,0.8,0.92,4,4,False,False
10,frame_0033.jpg,13.2,0.68,0.4799,0.8,1.0,5,4,False,True
11,frame_0280.jpg,112.0,0.6766,0.5933,1.0,0.4,5,5,False,False
12,frame_0384.jpg,153.6,0.6721,0.6802,1.0,0.16,8,5,False,True
13,frame_0397.jpg,158.8,0.6684,0.6568,1.0,0.2,5,5,False,True
14,frame_0075.jpg,30.0,0.662,0.46,0.8,0.96,5,4,False,False
15,frame_0387.jpg,154.8,0.6564,0.6328,1.0,0.2,9,5,False,False
16,frame_0375.jpg,150.0,0.6553,0.7506,0.8,0.2,8,4,False,True
17,frame_0206.jpg,82.4,0.652,0.0,0.0,0.76,0,0,True,True
18,frame_0001.jpg,0.4,0.6368,0.6336,0.4,1.0,5,2,False,False
19,frame_0119.jpg,47.6,0.6361,0.9602,0.2,0.48,1,1,False,True
20,frame_0204.jpg,81.6,0.636,0.0,0.0,0.68,0,0,True,False
21,frame_0374.jpg,149.6,0.6331,0.5861,1.0,0.2,6,5,False,False
22,frame_0130.jpg,52.0,0.6327,0.5374,0.6,0.92,4,3,False,True
23,frame_0389.jpg,155.6,0.6155,0.583,1.0,0.12,6,5,False,False
24,frame_0002.jpg,0.8,0.6131,0.3462,0.8,1.0,5,4,False,False
25,frame_0213.jpg,85.2,0.612,0.0,0.0,0.56,0,0,True,False
26,frame_0278.jpg,111.2,0.611,0.6139,0.8,0.32,7,4,False,False
27,frame_0032.jpg,12.8,0.6094,0.4587,0.6,1.0,3,3,False,False
28,frame_0129.jpg,51.6,0.6091,0.5063,0.6,0.88,5,3,False,False
29,frame_0277.jpg,110.8,0.6048,0.4976,1.0,0.28,6,5,False,False
30,frame_0287.jpg,114.8,0.6038,0.5757,0.6,0.68,4,3,False,False
31,frame_0018.jpg,7.2,0.5992,0.4383,0.6,1.0,3,3,False,False
32,frame_0071.jpg,28.4,0.5984,0.4369,0.6,1.0,4,3,False,False
33,frame_0124.jpg,49.6,0.5971,0.5622,0.6,0.68,6,3,False,False
34,frame_0199.jpg,79.6,0.596,0.0,0.0,0.48,0,0,True,False
35,frame_0006.jpg,2.4,0.5959,0.5518,0.4,1.0,2,2,False,False
36,frame_0082.jpg,32.8,0.5959,0.6799,0.4,0.68,2,2,False,False
37,frame_0291.jpg,116.4,0.5929,0.3699,0.8,0.84,5,4,False,False
38,frame_0276.jpg,110.4,0.5871,0.5982,0.8,0.24,7,4,False,False
39,frame_0294.jpg,117.6,0.5835,0.5189,0.6,0.72,5,3,False,False
40,frame_0388.jpg,155.2,0.582,0.6201,0.8,0.16,7,4,False,False
41,frame_0197.jpg,78.8,0.58,0.0,0.0,0.4,0,0,True,False
42,frame_0386.jpg,154.4,0.5777,0.4595,1.0,0.24,7,5,False,False
43,frame_0003.jpg,1.2,0.575,0.39,0.6,1.0,4,3,False,False
44,frame_0122.jpg,48.8,0.5728,0.6656,0.4,0.6,3,2,False,False
45,frame_0073.jpg,29.2,0.571,0.382,0.6,1.0,5,3,False,False
46,frame_0173.jpg,69.2,0.5646,0.5052,0.8,0.36,5,4,False,False
47,frame_0398.jpg,159.2,0.5646,0.5532,0.8,0.24,5,4,False,False
48,frame_0030.jpg,12.0,0.563,0.3659,0.6,1.0,4,3,False,False
49,frame_0396.jpg,158.4,0.5607,0.4574,1.0,0.16,5,5,False,False
50,frame_0377.jpg,150.8,0.5598,0.5917,0.8,0.12,5,4,False,False
51,frame_0169.jpg,67.6,0.5567,0.5454,0.6,0.52,6,3,False,False
52,frame_0289.jpg,115.6,0.5543,0.4445,0.6,0.76,4,3,False,False
53,frame_0285.jpg,114.0,0.5531,0.5061,0.6,0.6,4,3,False,False
54,frame_0086.jpg,34.4,0.5517,0.7754,0.2,0.52,1,1,False,False
55,frame_0371.jpg,148.4,0.5515,0.4711,1.0,0.08,6,5,False,False
56,frame_0085.jpg,34.0,0.5503,0.6365,0.4,0.56,2,2,False,False
57,frame_0175.jpg,70.0,0.5488,0.7455,0.4,0.28,2,2,False,False
58,frame_0302.jpg,120.8,0.5474,0.5747,0.6,0.4,3,3,False,False
59,frame_0128.jpg,51.2,0.5461,0.6361,0.2,0.84,3,1,False,False
60,frame_0222.jpg,88.8,0.54,0.0,0.0,0.2,0,0,True,False
61,frame_0290.jpg,116.0,0.5391,0.5181,0.4,0.8,3,2,False,False
62,frame_0125.jpg,50.0,0.539,0.4299,0.6,0.72,5,3,False,False
63,frame_0233.jpg,93.2,0.5366,0.7372,0.4,0.24,3,2,False,False
64,frame_0292.jpg,116.8,0.5358,0.3916,0.6,0.8,6,3,False,False
65,frame_0097.jpg,38.8,0.5351,0.5582,0.8,0.08,4,4,False,False
66,frame_0368.jpg,147.2,0.5335,0.571,0.8,0.04,7,4,False,False
67,frame_0127.jpg,50.8,0.5334,0.5068,0.4,0.8,3,2,False,False
68,frame_0092.jpg,36.8,0.5331,0.8342,0.2,0.28,1,1,False,False
69,frame_0281.jpg,112.4,0.5314,0.5269,0.6,0.44,4,3,False,False
70,frame_0069.jpg,27.6,0.5291,0.2982,0.6,1.0,4,3,False,False
71,frame_0174.jpg,69.6,0.5291,0.6902,0.4,0.32,2,2,False,False
72,frame_0017.jpg,6.8,0.5267,0.4133,0.4,1.0,3,2,False,False
73,frame_0015.jpg,6.0,0.5249,0.4098,0.4,1.0,4,2,False,False
74,frame_0132.jpg,52.8,0.5234,0.4069,0.4,1.0,3,2,False,False
75,frame_0078.jpg,31.2,0.5219,0.4677,0.4,0.84,4,2,False,False
76,frame_0299.jpg,119.6,0.5219,0.4757,0.6,0.52,4,3,False,False
77,frame_0170.jpg,68.0,0.5217,0.4915,0.6,0.48,4,3,False,False
78,frame_0286.jpg,114.4,0.5133,0.5306,0.4,0.64,4,2,False,False
79,frame_0167.jpg,66.8,0.5132,0.4265,0.6,0.6,4,3,False,False
80,frame_0300.jpg,120.0,0.5121,0.4722,0.6,0.48,3,3,False,False
81,frame_0009.jpg,3.6,0.5105,0.3809,0.4,1.0,2,2,False,False
82,frame_0293.jpg,117.2,0.5041,0.4642,0.4,0.76,4,2,False,False
83,frame_0014.jpg,5.6,0.504,0.4881,0.2,1.0,2,1,False,False
84,frame_0016.jpg,6.4,0.503,0.3661,0.4,1.0,4,2,False,False
85,frame_0390.jpg,156.0,0.4999,0.4877,0.8,0.08,5,4,False,False
86,frame_0282.jpg,112.8,0.4998,0.5675,0.4,0.48,3,2,False,False
87,frame_0295.jpg,118.0,0.4997,0.4873,0.4,0.68,4,2,False,False
88,frame_0067.jpg,26.8,0.4991,0.3582,0.4,1.0,5,2,False,False
89,frame_0385.jpg,154.0,0.4945,0.5489,0.6,0.2,4,3,False,False
90,frame_0029.jpg,11.6,0.4927,0.3455,0.4,1.0,3,2,False,False
